13-04-2017,16:38,MIRBUD SA,PLMRBUD00015,WSE,168,PLN,"1.80",PLN,"302.40"
13-04-2017,16:38,PCC ROKITA SA,PLPCCRK00076,WSE,16,PLN,"84.70",PLN,"1355.20"
13-04-2017,16:34,PKN ORLEN SA,PLPKN0000018,WSE,7,PLN,"110.40",PLN,"772.80"
13-04-2017,16:31,CD PROJEKT RED SA,PLOPTTC00011,WSE,7,PLN,"64.10",PLN,"448.70"
13-04-2017,16:31,GRUPA LOTOS SA,PLLOTOS00025,WSE,10,PLN,"52.74",PLN,"527.40"
13-04-2017,16:30,POLIMEX-MOSTOSTAL SA,PLMSTSD00019,WSE,-20,PLN,"8.89",PLN,"177.80"
12-04-2017,15:02,AILLERON SA,PLWNDMB00010,WSE,-12,PLN,"12.86",PLN,"154.32"
04-04-2017,10:03,POLIMEX-MOSTOSTAL SA,PLMSTSD00019,WSE,15,PLN,"7.58",PLN,"113.70"
31-03-2017,16:16,POLIMEX-MOSTOSTAL SA,PLMSTSD00019,WSE,-15,PLN,"8.12",PLN,"121.80"
22-03-2017,12:40,AILLERON SA,PLWNDMB00010,WSE,1,PLN,"13.07",PLN,"13.07"
22-03-2017,12:40,AILLERON SA,PLWNDMB00010,WSE,11,PLN,"13.07",PLN,"143.77"
22-03-2017,09:58,POLIMEX-MOSTOSTAL SA,PLMSTSD00019,WSE,-20,PLN,"8.34",PLN,"166.80"
21-03-2017,13:01,POLIMEX-MOSTOSTAL SA,PLMSTSD00019,WSE,5,PLN,"8.08",PLN,"40.40"
21-03-2017,09:36,WIELTON SA,PLWELTN00012,WSE,4,PLN,"15.73",PLN,"62.92"
21-03-2017,09:36,GRUPA LOTOS SA,PLLOTOS00025,WSE,3,PLN,"57.79",PLN,"173.37"
21-03-2017,09:29,BRIJU SA,PLBRIJU00010,WSE,-28,PLN,"9.20",PLN,"257.60"
17-03-2017,09:30,WIELTON SA,PLWELTN00012,WSE,26,PLN,"15.39",PLN,"400.14"
17-03-2017,09:29,PKN ORLEN SA,PLPKN0000018,WSE,-4,PLN,"105.20",PLN,"420.80"
15-03-2017,14:46,PKN ORLEN SA,PLPKN0000018,WSE,4,PLN,"103.60",PLN,"414.40"
15-03-2017,11:40,GRUPA LOTOS SA,PLLOTOS00025,WSE,3,PLN,"56.44",PLN,"169.32"
15-03-2017,11:23,MOSTOSTAL WARSZAWA SA,PLMSTWS00019,WSE,22,PLN,"15.07",PLN,"331.54"
15-03-2017,10:22,LSI SOFTWARE SA,PLLSSFT00016,WSE,25,PLN,"11.13",PLN,"278.25"
15-03-2017,10:16,MIRBUD SA,PLMRBUD00015,WSE,324,PLN,"1.49",PLN,"482.76"
13-03-2017,16:43,PEPEES,PLPEPES00018,WSE,250,PLN,"1.43",PLN,"357.50"
13-03-2017,14:08,BRIJU SA,PLBRIJU00010,WSE,28,PLN,"13.89",PLN,"388.92"
13-03-2017,14:03,POLIMEX-MOSTOSTAL SA,PLMSTSD00019,WSE,75,PLN,"10.95",PLN,"821.25"
13-03-2017,13:42,CD PROJEKT RED SA,PLOPTTC00011,WSE,5,PLN,"72.52",PLN,"362.60"
13-03-2017,13:41,GRUPA LOTOS SA,PLLOTOS00025,WSE,2,PLN,"53.59",PLN,"107.18"
13-03-2017,13:39,GRUPA LOTOS SA,PLLOTOS00025,WSE,7,PLN,"53.55",PLN,"374.85"
24-02-2017,09:00,CD PROJEKT RED SA,PLOPTTC00011,WSE,-1,PLN,"74.84",PLN,"74.84"
15-02-2017,12:47,CD PROJEKT RED SA,PLOPTTC00011,WSE,1,PLN,"69.33",PLN,"69.33"
